Noise Amplitude,Binder Cumulant
0.0,0.9651338587321978
0.04081632653061224,0.961322199022177
0.08163265306122448,0.9757286769232507
0.12244897959183673,0.9501841537857474
0.16326530612244897,0.9278280170974104
0.2040816326530612,0.8765505689485813
0.24489795918367346,0.8446302657739916
0.2857142857142857,0.7685015728108843
0.32653061224489793,0.7253672348365978
0.36734693877551017,0.6115834087041954
0.4081632653061224,0.6116439418501728
0.44897959183673464,0.5176230168689733
0.4897959183673469,0.49375081309296204
0.5306122448979591,0.415389439667962
0.5714285714285714,0.39402577339011247
0.6122448979591836,0.3400800727210217
0.6530612244897959,0.2947688558618596
0.6938775510204082,0.2432105123820317
0.7346938775510203,0.23907477478265776
0.7755102040816326,0.20673208130768217
0.8163265306122448,0.2058231223702313
0.8571428571428571,0.2069724016163779
0.8979591836734693,0.18419205194233326
0.9387755102040816,0.18585632713876987
0.9795918367346939,0.17534699909285104
1.0204081632653061,0.17974149619986396
1.0612244897959182,0.17344360134545206
1.1020408163265305,0.16301729333406567
1.1428571428571428,0.1654530984623075
1.183673469387755,0.1478478304534346
1.2244897959183672,0.1576159453054272
1.2653061224489794,0.15495659101893028
1.3061224489795917,0.1494322578478111
1.346938775510204,0.14997889150587762
1.3877551020408163,0.1464504707869731
1.4285714285714284,0.1436893582956152
1.4693877551020407,0.15164214039573232
1.510204081632653,0.14383655460396488
1.5510204081632653,0.13608969837471438
1.5918367346938773,0.1437734964804874
1.6326530612244896,0.13600017330996517
1.673469387755102,0.14304469876312406
1.7142857142857142,0.13507422646029849
1.7551020408163265,0.13941648808091417
1.7959183673469385,0.1401153837899339
1.8367346938775508,0.13861599994812251
1.8775510204081631,0.14038169016376673
1.9183673469387754,0.13893065345548983
1.9591836734693877,0.1355514951224272
2.0,0.13506219107961673
